# NAME: p613.
# COMMENT: 33D32945 STP File, STP Format Version 1.0
200 370
1 21 1236
1 2 179
2 22 1429
2 3 1173
3 23 325
3 4 1261
4 24 1140
4 5 250
5 25 1144
5 6 827
6 26 159
6 7 117
7 27 36
7 8 457
8 28 168
8 9 760
9 29 405
9 10 1351
10 30 1449
10 11 270
11 31 509
11 12 1438
12 32 958
12 13 1029
13 33 637
13 14 1030
14 34 730
14 15 123
15 35 1372
15 16 1115
16 36 230
16 17 371
17 37 238
17 18 913
18 38 639
18 19 141
19 39 200
19 20 869
20 40 677
21 41 758
21 22 337
22 42 1066
22 23 1246
23 43 1136
23 24 1083
24 44 1378
24 25 311
25 45 627
25 26 497
26 46 771
26 27 768
27 47 534
27 28 508
28 48 400
28 29 239
29 49 10
29 30 989
30 50 1421
30 31 1283
31 51 368
31 32 609
32 52 699
32 33 1500
33 53 1391
33 34 338
34 54 1340
34 35 583
35 55 594
35 36 834
36 56 1010
36 37 411
37 57 391
37 38 143
38 58 1448
38 39 759
39 59 520
39 40 927
40 60 31
41 61 1361
41 42 1493
42 62 657
42 43 1153
43 63 952
43 44 76
44 64 1142
44 45 1310
45 65 994
45 46 49
46 66 1006
46 47 142
47 67 254
47 48 1305
48 68 1099
48 49 987
49 69 911
49 50 356
50 70 1155
50 51 575
51 71 1102
51 52 1488
52 72 613
52 53 475
53 73 1218
53 54 790
54 74 319
54 55 224
55 75 1207
55 56 725
56 76 469
56 57 486
57 77 1144
57 58 1333
58 78 180
58 59 997
59 79 9
59 60 974
60 80 700
61 81 410
61 62 224
62 82 502
62 63 581
63 83 3
63 64 1492
64 84 518
64 65 1433
65 85 825
65 66 405
66 86 263
66 67 1490
67 87 1381
67 68 821
68 88 876
68 69 643
69 89 641
69 70 22
70 90 372
70 71 230
71 91 703
71 72 768
72 92 976
72 73 629
73 93 1446
73 74 268
74 94 916
74 75 906
75 95 741
75 76 180
76 96 1162
76 77 1147
77 97 86
77 78 856
78 98 60
78 79 1250
79 99 331
79 80 649
80 100 1444
81 101 912
81 82 13
82 102 1134
82 83 446
83 103 476
83 84 640
84 104 738
84 85 334
85 105 361
85 86 111
86 106 399
86 87 29
87 107 1346
87 88 1255
88 108 1099
88 89 1132
89 109 194
89 90 1450
90 110 1308
90 91 883
91 111 1057
91 92 602
92 112 600
92 93 1202
93 113 393
93 94 85
94 114 823
94 95 231
95 115 643
95 96 174
96 116 1095
96 97 238
97 117 776
97 98 461
98 118 1184
98 99 588
99 119 229
99 100 803
100 120 694
101 121 728
101 102 309
102 122 700
102 103 1058
103 123 612
103 104 800
104 124 770
104 105 794
105 125 526
105 106 780
106 126 99
106 107 1175
107 127 294
107 108 158
108 128 966
108 109 1053
109 129 350
109 110 1154
110 130 559
110 111 990
111 131 627
111 112 86
112 132 383
112 113 471
113 133 126
113 114 1418
114 134 436
114 115 951
115 135 95
115 116 135
116 136 1404
116 117 878
117 137 337
117 118 65
118 138 421
118 119 1159
119 139 245
119 120 1096
120 140 708
121 141 20
121 122 231
122 142 304
122 123 590
123 143 1213
123 124 869
124 144 35
124 125 1213
125 145 696
125 126 1236
126 146 627
126 127 77
127 147 233
127 128 448
128 148 77
128 129 765
129 149 994
129 130 1249
130 150 671
130 131 219
131 151 952
131 132 1110
132 152 1423
132 133 1018
133 153 1457
133 134 133
134 154 92
134 135 1479
135 155 920
135 136 351
136 156 431
136 137 744
137 157 1139
137 138 896
138 158 775
138 139 136
139 159 1224
139 140 718
140 160 287
141 161 1264
141 142 668
142 162 601
142 143 399
143 163 487
143 144 584
144 164 756
144 145 70
145 165 14
145 146 776
146 166 683
146 147 1076
147 167 1428
147 148 1437
148 168 40
148 149 1177
149 169 384
149 150 1008
150 170 1409
150 151 1457
151 171 1133
151 152 580
152 172 685
152 153 65
153 173 856
153 154 1330
154 174 623
154 155 1150
155 175 1428
155 156 1089
156 176 807
156 157 467
157 177 1237
157 158 574
158 178 737
158 159 1080
159 179 318
159 160 140
160 180 1472
161 181 611
161 162 703
162 182 1244
162 163 1380
163 183 1041
163 164 1388
164 184 1261
164 165 801
165 185 744
165 166 1329
166 186 962
166 167 1312
167 187 497
167 168 112
168 188 251
168 169 1217
169 189 751
169 170 46
170 190 1304
170 171 689
171 191 749
171 172 1086
172 192 932
172 173 1382
173 193 570
173 174 896
174 194 916
174 175 383
175 195 284
175 176 1221
176 196 119
176 177 1318
177 197 1207
177 178 1209
178 198 1261
178 179 408
179 199 1240
179 180 773
180 200 1285
181 182 16
182 183 1081
183 184 922
184 185 1097
185 186 207
186 187 541
187 188 693
188 189 269
189 190 538
190 191 1001
191 192 1375
192 193 1230
193 194 1091
194 195 999
195 196 205
196 197 954
197 198 492
198 199 1468
199 200 1105
